location_id,lat,lng,monthly_revenue,signal_count,unique_users,peak_morning_signals,building_count,total_building_area,avg_building_area,residential_count,commercial_count,building_density,pop_total,pop_households,avg_hh_size,poi_bank,poi_bus_stop,poi_hospital,poi_mall,poi_park,poi_pharmacy,poi_restaurant,poi_school,poi_total,competitor_count,dist_nearest_competitor_m
LOC_001,50.226272,19.072973,245633.74,16052,216,3644,370,62829.45,169.8093243243243,232,23,471.1,4114.0,1613.0,2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,262.8
LOC_002,50.299999,18.674625,333393.33,21249,521,5691,442,180292.51,407.90160633484163,179,111,562.8,2446.0,1093.0,2.19,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,5.0,0.0,2567.5
LOC_003,50.042894,19.968676,296109.69,4547,241,1248,345,126428.17,366.45846376811596,126,103,439.3,706.0,216.0,4.65,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,619.2
LOC_004,50.130954,19.607709,197099.19,782,24,141,185,36883.98,199.37286486486488,106,17,235.5,355.0,107.0,3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9153.9
LOC_005,50.351594,18.894944,292786.56,24835,352,5127,438,122723.21,280.1899771689498,266,39,557.7,6872.0,3315.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1211.5
LOC_006,50.016769,20.01029,174307.46,18488,240,4250,197,89993.12,456.81786802030456,100,41,250.8,8526.0,1759.0,8.03,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2383.4
LOC_007,50.283699,19.017317,526630.01,14189,206,2928,358,122878.12,343.2349720670391,154,96,455.8,3599.0,1620.0,2.03,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2389.2
LOC_008,50.147486,18.840116,156433.13,10455,192,2372,530,89746.56,169.3331320754717,310,51,674.8,3520.0,1322.0,3.22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3604.9
LOC_009,50.303099,18.678924,335019.41,26412,496,6935,552,172217.7,311.9885869565218,293,123,702.8,4302.0,2036.0,2.17,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,0.0,2946.2
LOC_010,50.347639,18.921651,355288.71,47250,782,13000,1236,304561.92,246.4093203883495,707,131,1573.7,8059.0,3617.0,2.48,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,1854.2
LOC_011,50.121043,18.54847,306718.03,2411,98,458,531,61232.76,115.31593220338983,277,33,676.1,994.0,258.0,3.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3391.3
LOC_012,50.360509,19.049077,257168.85,1341,73,402,531,61537.57,115.88996233521657,270,15,676.1,1155.0,448.0,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5548.3
LOC_013,50.266171,18.894791,279872.55,13612,185,2389,274,70933.3,258.88065693430656,154,25,348.9,5414.0,2259.0,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,67.4
LOC_014,50.101874,19.929553,392436.29,4062,101,1003,159,33556.729999999996,211.04861635220124,108,13,202.4,1244.0,299.0,5.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012.4
LOC_015,50.315698,19.117433,266355.59,28056,310,5546,493,118805.43000000001,240.98464503042598,337,53,627.7,8234.0,3908.0,2.55,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,1200.3
LOC_016,50.026999,19.920654,238945.93,11244,233,2523,399,110888.65,277.9164160401002,286,32,508.0,7164.0,2072.0,4.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1420.0
LOC_017,50.281363,18.670286,232815.91,26247,296,6549,572,128686.8,224.97692307692307,376,62,728.3,8220.0,3890.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,506.0
LOC_018,50.100659,18.99341,285754.04,21576,353,5322,613,113914.66,185.8314192495922,443,26,780.5,7883.0,3036.0,2.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1469.8
LOC_019,50.261991,19.026051,623866.24,22941,656,4873,435,244277.85,561.558275862069,176,71,553.9,2875.0,1718.0,1.86,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,7.0,0.0,1153.7
LOC_020,50.097038,19.961254,310360.75,15514,304,3089,356,110190.51,309.523904494382,204,66,453.3,5529.0,1670.0,6.17,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,526.1
LOC_021,50.019016,19.927269,320423.94,7563,212,1430,651,143523.35,220.46597542242705,417,58,828.9,2173.0,702.0,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1730.8
LOC_022,50.096971,19.912718,311493.29,1942,73,612,405,66699.3,164.68962962962965,310,38,515.7,1417.0,449.0,3.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1181.8
LOC_023,50.225812,18.976277,262154.63,12869,183,2972,495,103375.38,208.8391515151515,321,38,630.3,5239.0,2494.0,2.18,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3070.7
LOC_024,50.244682,20.081011,218318.13,4847,209,1387,584,77109.25,132.03638698630138,376,43,743.6,1813.0,568.0,3.78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12846.2
LOC_025,49.994134,20.053555,231470.22,1732,91,445,538,71975.98,133.78434944237918,394,37,685.0,1301.0,360.0,3.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3661.2
LOC_026,50.36527,19.027023,172988.91,968,45,331,555,65359.42,117.76472072072072,279,18,706.6,1347.0,479.0,3.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5132.2
LOC_027,50.306119,19.181442,288519.07,8921,176,2246,326,96076.44,294.7130061349693,210,39,415.1,3081.0,1310.0,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2071.1
LOC_028,50.203964,19.046848,323175.63,915,32,136,222,40168.62,180.93972972972975,136,14,282.7,1407.0,585.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2901.5
LOC_029,50.321487,19.134686,319279.07,15291,380,3660,882,185988.76,210.87160997732428,377,131,1123.0,4336.0,2016.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,2581.5
LOC_030,50.304572,18.91806,167860.76,9987,288,2551,199,85370.88,428.99939698492466,111,15,253.4,3419.0,1479.0,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1640.7
LOC_031,50.100066,19.890332,353665.53,1117,77,259,315,62047.71,196.97685714285714,212,21,401.1,782.0,222.0,4.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2308.6
LOC_032,50.141958,19.192459,173229.08,1774,115,528,395,39883.81,100.97167088607594,245,18,502.9,780.0,203.0,3.84,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2864.2
LOC_033,50.280179,19.565872,50000.0,15518,473,4473,774,146896.45,189.7886950904393,448,115,985.5,3724.0,1522.0,3.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1278.9
LOC_034,50.296747,18.658205,200235.86,14658,317,3304,806,189070.58,234.5788833746898,471,66,1026.2,6289.0,2864.0,2.28,0.0,0.0,1.0,0.0,0.0,1.0,4.0,2.0,8.0,0.0,2411.4
LOC_035,50.07503,20.013764,259759.18,22890,462,5603,391,126596.01999999999,323.7749872122762,222,58,497.8,6938.0,2193.0,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.9
LOC_036,50.015621,19.951247,349740.94,15340,221,2885,407,90424.78,222.17390663390663,288,38,518.2,7074.0,2013.0,3.99,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,42.2
LOC_037,50.163899,19.977864,227013.29,825,58,157,221,25088.57,113.52294117647058,110,14,281.4,323.0,79.0,4.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7830.2
LOC_038,50.189307,18.62252,121446.26,8161,113,1783,86,32402.46,376.7727906976744,50,12,109.5,3219.0,1394.0,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,204.6
LOC_039,50.05788,19.963263,473882.1,13138,366,3143,282,135210.34,479.4692907801418,147,34,359.1,6020.0,2039.0,6.98,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,752.3
LOC_040,49.965208,18.956704,130489.86,1904,188,596,218,85123.57,390.4750917431193,76,70,277.6,208.0,56.0,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1209.4
LOC_041,49.997572,19.423463,178087.81,2675,79,487,147,89804.45,610.9146258503401,75,40,187.2,535.0,201.0,2.83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,13842.3
LOC_042,50.098404,19.998362,314978.31,8087,122,1417,254,70226.92,276.48393700787403,205,25,323.4,6934.0,2643.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1691.5
LOC_043,50.253639,19.039906,573546.91,20226,249,4022,386,151943.2,393.6352331606218,173,90,491.5,5316.0,2386.0,2.37,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1398.4
LOC_044,50.286421,18.728948,245236.06,23057,245,4870,507,94611.31,186.61007889546352,282,43,645.5,5760.0,2486.0,2.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2204.2
LOC_045,50.287326,18.66314,259298.07,27576,369,7288,724,138935.99,191.90053867403313,465,40,921.8,7136.0,3447.0,2.2,0.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,7.0,0.0,1316.7
LOC_046,50.258876,18.934631,220894.99,6051,150,1071,145,26992.26,186.1535172413793,98,11,184.6,1636.0,727.0,2.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,267.2
LOC_047,50.276761,18.795432,249600.16,3630,101,1052,455,57388.06,126.1276043956044,286,23,579.3,1357.0,436.0,3.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3718.1
LOC_048,50.441998,18.853005,192524.6,12377,330,3163,1162,160956.21,138.51653184165232,550,118,1479.5,3581.0,1525.0,2.53,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,703.0
LOC_049,50.08963,19.962518,293108.65,10530,290,2256,573,135301.53,236.12832460732983,338,79,729.6,6596.0,1722.0,6.44,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,552.7
LOC_050,50.031498,19.810855,174053.35,441,68,90,54,12620.33,233.70981481481482,35,8,68.8,117.0,31.0,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1769.0
