location_id,lat,lng,pop_total,pop_households,avg_hh_size,building_count,total_building_area,avg_building_area,residential_count,commercial_count,building_density,poi_bank,poi_bus_stop,poi_hospital,poi_mall,poi_park,poi_pharmacy,poi_restaurant,poi_school,poi_total,competitor_count,dist_nearest_competitor_m,residential_ratio,commercial_ratio,pop_density,signal_count,unique_users,peak_morning_signals,peak_ratio,signals_per_user,dist_nearest_client_m,nearest_client_revenue,dist_nearest_poi_m,predicted_revenue,score
GRID_00005,49.965,19.12999999999988,849.0,240.0,3.571090047393365,317.0,41815.82,131.91110410094637,220.0,5.0,403.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1109.0,0.694,0.016,1081.0,10887.0,214.0,2456.0,0.2305,40.25,12424.9,130489.86,989.7,223656.41589250002,11.8
GRID_00006,49.965,19.13499999999988,995.0,289.0,3.472047244094488,375.0,53353.93,142.27714666666668,273.0,19.0,477.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,930.2,0.728,0.051,1266.9,10887.0,214.0,2456.0,0.2305,40.25,12783.4,130489.86,889.5,220178.40026220056,11.6
GRID_00007,49.965,19.13999999999988,1664.0,593.0,3.1142011834319523,220.0,42254.64,192.06654545454546,145.0,35.0,280.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,870.4,0.659,0.159,2118.7,10887.0,214.0,2456.0,0.2305,40.25,13141.9,130489.86,927.3,207623.81014013969,10.9
GRID_00008,49.965,19.14499999999988,971.0,358.0,3.2916666666666665,112.0,21938.22,195.8769642857143,74.0,14.0,142.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,952.3,0.661,0.125,1236.3,10887.0,214.0,2456.0,0.2305,40.25,13500.4,130489.86,1088.8,144600.71075630042,7.3
GRID_00053,49.965,19.819999999999744,640.0,204.0,3.559433962264151,181.0,31866.5,176.05801104972375,115.0,18.0,230.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5687.6,0.635,0.099,814.9,10887.0,214.0,2456.0,0.2305,40.25,7420.6,174053.35,241.5,192212.96433653872,10.0
GRID_00054,49.965,19.824999999999743,3121.0,1087.0,3.4197802197802196,287.0,56441.84,196.66146341463414,210.0,21.0,365.4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,5749.7,0.732,0.073,3973.8,10887.0,214.0,2456.0,0.2305,40.25,7460.8,174053.35,596.8,156883.69424630824,8.0
GRID_00055,49.965,19.829999999999742,3341.0,1110.0,3.7198830409356725,292.0,51692.93,177.0305821917808,210.0,12.0,371.8,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,5833.1,0.719,0.041,4253.9,10887.0,214.0,2456.0,0.2305,40.25,7517.9,174053.35,842.2,153830.8263027398,7.8
GRID_00056,49.965,19.83499999999974,1870.0,596.0,3.973529411764706,186.0,33285.09,178.95209677419354,121.0,5.0,236.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5816.9,0.651,0.027,2381.0,10887.0,214.0,2456.0,0.2305,40.25,7591.4,174053.35,933.7,199647.99287248822,10.4
GRID_00058,49.965,19.84499999999974,569.0,142.0,4.102222222222222,211.0,23815.34,112.86890995260664,167.0,1.0,268.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5138.3,0.791,0.005,724.5,10887.0,214.0,2456.0,0.2305,40.25,7786.0,174053.35,1402.7,214155.44729949336,11.2
GRID_00059,49.965,19.84999999999974,529.0,134.0,4.0375,218.0,25157.56,115.4016513761468,174.0,1.0,277.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4803.2,0.798,0.005,673.5,10887.0,214.0,2456.0,0.2305,40.25,7905.9,174053.35,1703.3,211144.47000875924,11.1
GRID_00095,49.970000000000006,19.099999999999888,546.0,120.0,4.55,201.0,25889.33,128.8026368159204,143.0,5.0,255.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2855.8,0.711,0.025,695.2,10887.0,214.0,2456.0,0.2305,40.25,10287.2,130489.86,2613.4,170677.52371425918,8.8
GRID_00096,49.970000000000006,19.104999999999887,854.0,212.0,4.038095238095238,358.0,44639.45,124.69120111731843,241.0,10.0,455.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2499.9,0.673,0.028,1087.3,10887.0,214.0,2456.0,0.2305,40.25,10645.2,130489.86,2258.3,169850.87141781938,8.7
GRID_00097,49.970000000000006,19.109999999999886,565.0,148.0,3.828767123287671,255.0,30837.46,120.93121568627451,168.0,6.0,324.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2144.7,0.659,0.024,719.4,10887.0,214.0,2456.0,0.2305,40.25,11003.3,130489.86,1904.4,168643.35064956662,8.7
GRID_00100,49.970000000000006,19.124999999999883,1014.0,390.0,3.4756302521008404,208.0,29544.45,142.040625,125.0,6.0,264.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1092.4,0.601,0.029,1291.1,10887.0,214.0,2456.0,0.2305,40.25,12077.5,130489.86,865.6,225338.0770323085,11.9
GRID_00101,49.970000000000006,19.12999999999988,3089.0,1239.0,3.290851735015773,498.0,79225.89,159.08813253012048,319.0,47.0,634.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,756.2,0.641,0.094,3933.0,10887.0,214.0,2456.0,0.2305,40.25,12435.6,130489.86,551.4,212853.76184489985,11.2
GRID_00102,49.970000000000006,19.13499999999988,5017.0,2006.0,3.219501133786848,607.0,111090.62,183.01584843492586,400.0,77.0,772.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,455.2,0.659,0.127,6387.8,10887.0,214.0,2456.0,0.2305,40.25,12793.8,130489.86,340.2,156682.12203682406,8.0
GRID_00103,49.970000000000006,19.13999999999988,3746.0,1482.0,2.9881481481481478,380.0,78723.78,207.16784210526316,230.0,73.0,483.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,315.5,0.605,0.192,4769.6,10887.0,214.0,2456.0,0.2305,40.25,13152.0,130489.86,429.4,156513.69244839164,8.0
GRID_00104,49.970000000000006,19.14499999999988,2194.0,765.0,3.295483870967742,265.0,56501.29,213.21241509433963,152.0,37.0,337.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,498.8,0.574,0.14,2793.5,10887.0,214.0,2456.0,0.2305,40.25,13510.1,130489.86,714.1,164742.63878821238,8.5
GRID_00105,49.970000000000006,19.149999999999878,528.0,153.0,3.488888888888889,241.0,43569.26,180.7853112033195,146.0,21.0,306.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,809.4,0.606,0.087,672.3,10887.0,214.0,2456.0,0.2305,40.25,13868.3,130489.86,1045.3,153916.7797032473,7.8
