poi_id,category,name,lat,lng
POI_0001,restaurant,Akira Sushi,50.444306,18.854625
POI_0002,restaurant,Za furtką,50.007247,20.012085
POI_0003,restaurant,Stodoła,50.060185,19.836112
POI_0004,restaurant,Dworek Białoprądnicki,50.092904,19.940781
POI_0005,restaurant,Pierwsze piętro,50.062469,19.935316
POI_0006,restaurant,Bar Mleczny Targowy,50.057029,19.951824
POI_0007,restaurant,Euforia,50.450068,19.369171
POI_0008,restaurant,"Restauracja ""U Kusia""",50.173162,18.865431
POI_0009,restaurant,Starka,50.05066,19.944398
POI_0010,restaurant,Śniadaniownia Poranna Przystań,50.44398,19.215244
POI_0011,restaurant,Ermitaż 2,50.054828,19.944626
POI_0012,restaurant,Herbova,50.243957,19.780718
POI_0013,restaurant,Strzelec,50.253229,19.004642
POI_0014,restaurant,restaurant,50.065143,19.875702
POI_0015,restaurant,Chaczapuri,50.292986,18.663345
POI_0016,restaurant,Restauracja Staromieyska,50.323368,19.134592
POI_0017,restaurant,Senator,50.375726,19.267981
POI_0018,restaurant,Oberża,50.32126,19.093499
POI_0019,restaurant,Restauracja dwór Bismarcka,50.228797,19.145853
POI_0020,restaurant,"Pizzeria ""Eldo""",50.202869,19.105975
POI_0021,restaurant,Dworek przy lesie,50.234762,19.635558
POI_0022,restaurant,Delta Dietla,50.055822,19.945404
POI_0023,restaurant,Ramen Shop Kraków,50.066231,19.969962
POI_0024,restaurant,Trattoria Corrado,50.087561,19.901871
POI_0025,restaurant,Pizza Hut,50.064124,19.998769
POI_0026,restaurant,Pan da Sushi,50.168152,18.904599
POI_0027,restaurant,Kluska na Placu,50.064033,19.936286
POI_0028,restaurant,Atom Resto Bar,50.029272,19.905767
POI_0029,restaurant,Zosieńka,50.07744,20.045592
POI_0030,restaurant,Spice of India,50.054075,19.948143
POI_0031,restaurant,Polsko Włoski,50.293234,18.669558
POI_0032,restaurant,Gate of India,50.053315,19.939791
POI_0033,restaurant,Kazimir,50.052041,19.943306
POI_0034,restaurant,Jinling Dumpling,50.051271,19.941503
POI_0035,restaurant,"Pizzeria ""We Love Pizza""",50.314436,18.768078
POI_0036,restaurant,Zajazd pod złotą gąską,50.319663,19.134389
POI_0037,restaurant,Koku Sushi,50.077224,19.926652
POI_0038,restaurant,Tawerna La Capitana,50.067137,19.950171
POI_0039,restaurant,Restauracja N°7,50.060827,19.938537
POI_0040,restaurant,Terra Mare,50.277157,19.074691
POI_0041,restaurant,Ave Bakery & Wine Bar,50.125754,18.983593
POI_0042,restaurant,Rimini Pizza,50.229925,18.970951
POI_0043,restaurant,Tasty King Kebab - Taste of Bangladesh,50.212497,18.986748
POI_0044,restaurant,Bartek,50.323498,18.955181
POI_0045,restaurant,restaurant,50.082438,19.161866
POI_0046,restaurant,Współwinni,50.070692,19.894239
POI_0047,restaurant,Milkbar Tomasza,50.062389,19.941528
POI_0048,restaurant,Karczma Jurajska,50.453757,19.548022
POI_0049,restaurant,Dobry Zbeer,50.292405,18.66105
